species,source_asset,source_mesh_file,glb_mesh_name,structure_id,acronym,label,group,parent_id,hemisphere,catalog_status,notes
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1039.obj,1039,1039,GR,Gracile nucleus,Basic cell groups and regions,720,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Hindbrain > Medulla > Medulla, sensory related > Dorsal column nuclei > Gracile nucleus"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1041.obj,1041,1041,PFL,Paraflocculus,Basic cell groups and regions,1073,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebellum > Cerebellar cortex > Hemispheric regions > Paraflocculus
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1043.obj,1043,1043,tspc,crossed tectospinal pathway,fiber tracts,877,bilateral,mesh_with_ontology,ontology_path=root > fiber tracts > extrapyramidal fiber systems > tectospinal pathway > crossed tectospinal pathway
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1044.obj,1044,1044,PP,Peripeduncular nucleus,Basic cell groups and regions,864,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Thalamus > Thalamus, sensory-motor cortex related > Peripeduncular nucleus"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1045.obj,1045,1045,ECT6b,Ectorhinal area/Layer 6b,Basic cell groups and regions,895,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Ectorhinal area > Ectorhinal area/Layer 6b
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1046.obj,1046,1046,VISam6a,"Anteromedial visual area, layer 6a",Basic cell groups and regions,394,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visual areas > Anteromedial visual area > Anteromedial visual area, layer 6a"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1047.obj,1047,1047,SSp-bfd4,"Primary somatosensory area, barrel field, layer 4",Basic cell groups and regions,329,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Somatosensory areas > Primary somatosensory area > Primary somatosensory area, barrel field > Primary somatosensory area, barrel field, layer 4"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1048.obj,1048,1048,GRN,Gigantocellular reticular nucleus,Basic cell groups and regions,370,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Hindbrain > Medulla > Medulla, motor related > Gigantocellular reticular nucleus"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1049.obj,1049,1049,FL,Flocculus,Basic cell groups and regions,1073,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebellum > Cerebellar cortex > Hemispheric regions > Flocculus
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1051.obj,1051,1051,tspd,direct tectospinal pathway,fiber tracts,877,bilateral,mesh_with_ontology,ontology_path=root > fiber tracts > extrapyramidal fiber systems > tectospinal pathway > direct tectospinal pathway
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1052.obj,1052,1052,PPN,Pedunculopontine nucleus,Basic cell groups and regions,348,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Midbrain > Midbrain, behavioral state related > Pedunculopontine nucleus"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1054.obj,1054,1054,ILA6a,"Infralimbic area, layer 6a",Basic cell groups and regions,44,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Infralimbic area > Infralimbic area, layer 6a"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1056.obj,1056,1056,ANcr1,Crus 1,Basic cell groups and regions,1017,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebellum > Cerebellar cortex > Hemispheric regions > Ansiform lobule > Crus 1
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1057.obj,1057,1057,GU,Gustatory areas,Basic cell groups and regions,315,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Gustatory areas
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1058.obj,1058,1058,VISC5,"Visceral area, layer 5",Basic cell groups and regions,677,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visceral area > Visceral area, layer 5"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1060.obj,1060,1060,dtd,doral tegmental decussation,fiber tracts,877,bilateral,mesh_with_ontology,ontology_path=root > fiber tracts > extrapyramidal fiber systems > tectospinal pathway > doral tegmental decussation
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1061.obj,1061,1061,PPT,Posterior pretectal nucleus,Basic cell groups and regions,1100,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Midbrain > Midbrain, motor related > Pretectal region > Posterior pretectal nucleus"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1062.obj,1062,1062,SSp-bfd6b,"Primary somatosensory area, barrel field, layer 6b",Basic cell groups and regions,329,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Somatosensory areas > Primary somatosensory area > Primary somatosensory area, barrel field > Primary somatosensory area, barrel field, layer 6b"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1064.obj,1064,1064,ANcr2,Crus 2,Basic cell groups and regions,1017,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebellum > Cerebellar cortex > Hemispheric regions > Ansiform lobule > Crus 2
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1065.obj,1065,1065,HB,Hindbrain,Basic cell groups and regions,343,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Brain stem > Hindbrain
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1066.obj,1066,1066,VISam2/3,"Anteromedial visual area, layer 2/3",Basic cell groups and regions,394,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visual areas > Anteromedial visual area > Anteromedial visual area, layer 2/3"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1069.obj,1069,1069,PPY,Parapyramidal nucleus,Basic cell groups and regions,370,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Hindbrain > Medulla > Medulla, motor related > Parapyramidal nucleus"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1070.obj,1070,1070,SSp-bfd5,"Primary somatosensory area, barrel field, layer 5",Basic cell groups and regions,329,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Somatosensory areas > Primary somatosensory area > Primary somatosensory area, barrel field > Primary somatosensory area, barrel field, layer 5"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1072.obj,1072,1072,MGd,"Medial geniculate complex, dorsal part",Basic cell groups and regions,475,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Thalamus > Thalamus, sensory-motor cortex related > Geniculate group, dorsal thalamus > Medial geniculate complex > Medial geniculate complex, dorsal part"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1073.obj,1073,1073,HEM,Hemispheric regions,Basic cell groups and regions,528,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebellum > Cerebellar cortex > Hemispheric regions
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1074.obj,1074,1074,VISal1,"Anterolateral visual area, layer 1",Basic cell groups and regions,402,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visual areas > Anterolateral visual area > Anterolateral visual area, layer 1"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1077.obj,1077,1077,PR,Perireunensis nucleus,Basic cell groups and regions,444,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Thalamus > Thalamus, polymodal association cortex related > Medial group of the dorsal thalamus > Perireunensis nucleus"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1079.obj,1079,1079,MGv,"Medial geniculate complex, ventral part",Basic cell groups and regions,475,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Thalamus > Thalamus, sensory-motor cortex related > Geniculate group, dorsal thalamus > Medial geniculate complex > Medial geniculate complex, ventral part"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1080.obj,1080,1080,HIP,Hippocampal region,Basic cell groups and regions,1089,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Hippocampal formation > Hippocampal region
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1081.obj,1081,1081,ILA6b,"Infralimbic area, layer 6b",Basic cell groups and regions,44,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Infralimbic area > Infralimbic area, layer 6b"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1083.obj,1083,1083,mfbse,epithalamus related,fiber tracts,824,bilateral,mesh_with_ontology,ontology_path=root > fiber tracts > medial forebrain bundle system > hypothalamus related > epithalamus related
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1084.obj,1084,1084,PRE,Presubiculum,Basic cell groups and regions,822,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Hippocampal formation > Retrohippocampal region > Presubiculum
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1085.obj,1085,1085,MOs6b,"Secondary motor area, layer 6b",Basic cell groups and regions,993,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Somatomotor areas > Secondary motor area > Secondary motor area, layer 6b"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1086.obj,1086,1086,SSp-tr4,"Primary somatosensory area, trunk, layer 4",Basic cell groups and regions,361,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Somatosensory areas > Primary somatosensory area > Primary somatosensory area, trunk > Primary somatosensory area, trunk, layer 4"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1088.obj,1088,1088,MGm,"Medial geniculate complex, medial part",Basic cell groups and regions,475,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Thalamus > Thalamus, sensory-motor cortex related > Geniculate group, dorsal thalamus > Medial geniculate complex > Medial geniculate complex, medial part"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1089.obj,1089,1089,HPF,Hippocampal formation,Basic cell groups and regions,695,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Hippocampal formation
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1090.obj,1090,1090,SSs5,"Supplemental somatosensory area, layer 5",Basic cell groups and regions,378,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Somatosensory areas > Supplemental somatosensory area > Supplemental somatosensory area, layer 5"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1091.obj,1091,1091,"CUL4, 5",Lobules IV-V,Basic cell groups and regions,928,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebellum > Cerebellar cortex > Vermal regions > Culmen > Lobules IV-V
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1092.obj,1092,1092,em,external medullary lamina of the thalamus,fiber tracts,896,bilateral,mesh_with_ontology,ontology_path=root > fiber tracts > lateral forebrain bundle system > thalamus related > external medullary lamina of the thalamus
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1093.obj,1093,1093,PRNc,"Pontine reticular nucleus, caudal part",Basic cell groups and regions,987,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Hindbrain > Pons > Pons, motor related > Pontine reticular nucleus, caudal part"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1094.obj,1094,1094,SSp-ll4,"Primary somatosensory area, lower limb, layer 4",Basic cell groups and regions,337,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Somatosensory areas > Primary somatosensory area > Primary somatosensory area, lower limb > Primary somatosensory area, lower limb, layer 4"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1096.obj,1096,1096,AMd,"Anteromedial nucleus, dorsal part",Basic cell groups and regions,127,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Thalamus > Thalamus, polymodal association cortex related > Anterior group of the dorsal thalamus > Anteromedial nucleus > Anteromedial nucleus, dorsal part"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/1097.obj,1097,1097,HY,Hypothalamus,Basic cell groups and regions,1129,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Hypothalamus
