2026-04-10 20:59:11,053 [INFO] Stage 2 step 2400/5000: loss=2.1016, sens=1.2480, prior_kl=0.8430, fb_sparse=0.0000, energy=0.3611, homeo=0.0000, s_acc=0.512, p_acc=0.150, ang_err=14.9, grad_norm=0.674, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:00:17,344 [INFO] Stage 2 step 2500/5000: loss=2.0460, sens=1.2786, prior_kl=0.7960, fb_sparse=0.0000, energy=0.3512, homeo=0.0000, s_acc=0.535, p_acc=0.161, ang_err=13.7, grad_norm=0.704, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:01:23,969 [INFO] Stage 2 step 2600/5000: loss=2.0169, sens=1.0792, prior_kl=0.8658, fb_sparse=0.0000, energy=0.3524, homeo=0.0001, s_acc=0.494, p_acc=0.154, ang_err=15.1, grad_norm=0.363, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:02:47,076 [INFO] Stage 2 step 2700/5000: loss=2.1556, sens=1.2689, prior_kl=0.9165, fb_sparse=0.0000, energy=0.3514, homeo=0.0000, s_acc=0.501, p_acc=0.135, ang_err=16.2, grad_norm=0.331, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:03:59,749 [INFO] Stage 2 step 2800/5000: loss=2.1185, sens=1.3964, prior_kl=0.8132, fb_sparse=0.0000, energy=0.3530, homeo=0.0000, s_acc=0.532, p_acc=0.167, ang_err=14.2, grad_norm=0.481, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:05:05,395 [INFO] Stage 2 step 2900/5000: loss=2.1924, sens=1.5672, prior_kl=0.8071, fb_sparse=0.0000, energy=0.3543, homeo=0.0000, s_acc=0.565, p_acc=0.158, ang_err=13.6, grad_norm=0.567, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:06:12,420 [INFO] Stage 2 step 3000/5000: loss=2.1484, sens=1.3859, prior_kl=0.8482, fb_sparse=0.0000, energy=0.3520, homeo=0.0000, s_acc=0.537, p_acc=0.163, ang_err=14.9, grad_norm=0.610, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:07:17,826 [INFO] Stage 2 step 3100/5000: loss=2.0152, sens=1.1155, prior_kl=0.8585, fb_sparse=0.0000, energy=0.3484, homeo=0.0001, s_acc=0.537, p_acc=0.177, ang_err=14.6, grad_norm=0.283, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:08:40,554 [INFO] Stage 2 step 3200/5000: loss=2.2903, sens=1.7131, prior_kl=0.8475, fb_sparse=0.0000, energy=0.3500, homeo=0.0000, s_acc=0.577, p_acc=0.141, ang_err=14.9, grad_norm=0.694, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:09:51,610 [INFO] Stage 2 step 3300/5000: loss=2.1343, sens=1.4715, prior_kl=0.8088, fb_sparse=0.0000, energy=0.3494, homeo=0.0000, s_acc=0.559, p_acc=0.121, ang_err=14.4, grad_norm=0.474, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:10:57,403 [INFO] Stage 2 step 3400/5000: loss=2.1511, sens=1.3958, prior_kl=0.8588, fb_sparse=0.0000, energy=0.3499, homeo=0.0000, s_acc=0.549, p_acc=0.164, ang_err=14.7, grad_norm=0.427, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:12:04,408 [INFO] Stage 2 step 3500/5000: loss=2.0544, sens=1.1683, prior_kl=0.8640, fb_sparse=0.0000, energy=0.3501, homeo=0.0001, s_acc=0.516, p_acc=0.105, ang_err=14.9, grad_norm=0.527, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:13:06,173 [INFO] Stage 2 step 3600/5000: loss=2.1643, sens=1.4654, prior_kl=0.8378, fb_sparse=0.0000, energy=0.3481, homeo=0.0000, s_acc=0.544, p_acc=0.133, ang_err=14.8, grad_norm=0.716, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:14:27,069 [INFO] Stage 2 step 3700/5000: loss=2.0851, sens=1.3859, prior_kl=0.7984, fb_sparse=0.0000, energy=0.3506, homeo=0.0000, s_acc=0.575, p_acc=0.151, ang_err=13.7, grad_norm=0.452, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:15:38,887 [INFO] Stage 2 step 3800/5000: loss=2.1381, sens=1.4531, prior_kl=0.8233, fb_sparse=0.0000, energy=0.3480, homeo=0.0000, s_acc=0.554, p_acc=0.161, ang_err=14.2, grad_norm=0.501, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:16:41,071 [INFO] Stage 2 step 3900/5000: loss=2.0668, sens=1.2992, prior_kl=0.8227, fb_sparse=0.0000, energy=0.3487, homeo=0.0000, s_acc=0.539, p_acc=0.129, ang_err=14.6, grad_norm=0.285, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:17:47,692 [INFO] Stage 2 step 4000/5000: loss=2.0029, sens=1.2461, prior_kl=0.7839, fb_sparse=0.0000, energy=0.3475, homeo=0.0000, s_acc=0.550, p_acc=0.133, ang_err=13.0, grad_norm=0.471, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:18:53,409 [INFO] Stage 2 step 4100/5000: loss=2.0939, sens=1.3743, prior_kl=0.8145, fb_sparse=0.0000, energy=0.3478, homeo=0.0000, s_acc=0.544, p_acc=0.148, ang_err=13.8, grad_norm=0.600, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:20:11,538 [INFO] Stage 2 step 4200/5000: loss=2.1202, sens=1.4662, prior_kl=0.7981, fb_sparse=0.0000, energy=0.3488, homeo=0.0000, s_acc=0.570, p_acc=0.156, ang_err=13.7, grad_norm=0.563, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:21:23,676 [INFO] Stage 2 step 4300/5000: loss=2.1662, sens=1.5405, prior_kl=0.8067, fb_sparse=0.0000, energy=0.3506, homeo=0.0000, s_acc=0.564, p_acc=0.156, ang_err=14.1, grad_norm=0.457, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:22:29,570 [INFO] Stage 2 step 4400/5000: loss=2.1141, sens=1.3980, prior_kl=0.8237, fb_sparse=0.0000, energy=0.3502, homeo=0.0000, s_acc=0.554, p_acc=0.163, ang_err=14.1, grad_norm=0.383, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:23:35,796 [INFO] Stage 2 step 4500/5000: loss=2.0036, sens=1.2968, prior_kl=0.7568, fb_sparse=0.0000, energy=0.3508, homeo=0.0000, s_acc=0.531, p_acc=0.150, ang_err=12.7, grad_norm=0.485, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:24:42,722 [INFO] Stage 2 step 4600/5000: loss=2.0703, sens=1.2944, prior_kl=0.8303, fb_sparse=0.0000, energy=0.3490, homeo=0.0000, s_acc=0.564, p_acc=0.150, ang_err=14.1, grad_norm=0.375, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:25:57,427 [INFO] Stage 2 step 4700/5000: loss=2.1256, sens=1.3289, prior_kl=0.8661, fb_sparse=0.0000, energy=0.3519, homeo=0.0000, s_acc=0.539, p_acc=0.118, ang_err=15.5, grad_norm=0.360, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:27:14,092 [INFO] Stage 2 step 4800/5000: loss=2.1564, sens=1.5847, prior_kl=0.7778, fb_sparse=0.0000, energy=0.3481, homeo=0.0000, s_acc=0.539, p_acc=0.151, ang_err=13.3, grad_norm=0.453, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:28:22,050 [INFO] Stage 2 step 4900/5000: loss=2.0331, sens=1.1851, prior_kl=0.8377, fb_sparse=0.0000, energy=0.3516, homeo=0.0000, s_acc=0.542, p_acc=0.134, ang_err=14.6, grad_norm=0.479, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:29:27,968 [INFO] Stage 2 step 5000/5000: loss=1.9383, sens=1.0433, prior_kl=0.8152, fb_sparse=0.0000, energy=0.3494, homeo=0.0001, s_acc=0.531, p_acc=0.145, ang_err=14.2, grad_norm=0.317, pi_ceil=0.000, fb_scale=1.000
2026-04-10 21:29:27,978 [INFO] Stage 2 complete: loss=1.9383, s_acc=0.531, p_acc=0.145
2026-04-10 21:29:27,993 [INFO] Saved to results/dual_1b/emergent_seed42/checkpoint.pt
2026-04-10 21:29:27,993 [INFO] Training complete.
